text,target_label
1.7k,satisfaction
There is growing concern about job insecurity,concern
Challenging tasks like innovation inspire me,motivation
299,satisfaction
The stressful environment comes from layoffs,concern
206,satisfaction
344,satisfaction
188,satisfaction
I feel motivated because skill improvement,motivation
I enjoy learning new skills like career growth,motivation
The company culture is slow and unorganized and it makes the job unbearable.,frustration
256,satisfaction
Employees are worried about toxic management,concern
474,satisfaction
274,satisfaction
407,satisfaction
633,satisfaction
236,satisfaction
781,satisfaction
There is fear and uncertainty because of harassment reports,concern
193,satisfaction
610,satisfaction
318,satisfaction
HR is stressful and chaotic and no one listens to feedback.,frustration
239,satisfaction
601,satisfaction
271,satisfaction
479,satisfaction
277,satisfaction
200,satisfaction
Job security feels threatened due to toxic management,concern
192,satisfaction
There are great opportunities for future leadership,motivation
The management is poorly managed and it's affecting performance.,frustration
563,satisfaction
1.6k,satisfaction
210,satisfaction
The stressful environment comes from harassment reports,concern
Job security feels threatened due to harassment reports,concern
The company culture is unfair to employees and it feels like a waste of time.,frustration
248,satisfaction
The support from leadership helps me grow in career growth,motivation
658,satisfaction
The stressful environment comes from work pressure,concern
207,satisfaction
334,satisfaction
534,satisfaction
There is growing concern about job insecurity,concern
475,satisfaction
The stressful environment comes from work pressure,concern
293,satisfaction
Leadership is terrible and employees are exhausted by it.,frustration
231,satisfaction
295,satisfaction
212,satisfaction
There are great opportunities for skill improvement,motivation
The management is really bad and it makes the job unbearable.,frustration
There is growing concern about harassment reports,concern
215,satisfaction
1.6k,satisfaction
There is fear and uncertainty because of politics,concern
254,satisfaction
1.1k,satisfaction
The work environment is poorly managed and it creates constant stress.,frustration
556,satisfaction
517,satisfaction
206,satisfaction
The management is slow and unorganized and employees are exhausted by it.,frustration
546,satisfaction
1k,satisfaction
There is fear and uncertainty because of job insecurity,concern
The work environment is stressful and chaotic and it's impossible to stay motivated.,frustration
The support from leadership helps me grow in future leadership,motivation
300,satisfaction
1.3k,satisfaction
203,satisfaction
I feel motivated because future leadership,motivation
207,satisfaction
279,satisfaction
The company culture is unfair to employees and productivity is suffering because of this.,frustration
404,satisfaction
201,satisfaction
780,satisfaction
553,satisfaction
The stressful environment comes from politics,concern
The promotion process is poorly managed and it makes the job unbearable.,frustration
Challenging tasks like career growth inspire me,motivation
334,satisfaction
The workflow is unfair to employees and employees are exhausted by it.,frustration
There is growing concern about job insecurity,concern
1k,satisfaction
395,satisfaction
269,satisfaction
I enjoy learning new skills like future leadership,motivation
993,satisfaction
607,satisfaction
307,satisfaction
397,satisfaction
HR is unfair to employees and it's impossible to stay motivated.,frustration
493,satisfaction
1k,satisfaction
256,satisfaction
287,satisfaction
The stressful environment comes from work pressure,concern
215,frustration
Job security feels threatened due to layoffs,concern
441,satisfaction
694,satisfaction
295,satisfaction
1.2k,satisfaction
There are great opportunities for promotion,motivation
345,satisfaction
2k,satisfaction
The support from leadership helps me grow in learning,motivation
221,satisfaction
442,satisfaction
258,satisfaction
1.1k,satisfaction
192,satisfaction
Employees are worried about job insecurity,concern
229,satisfaction
657,satisfaction
The promotion process is terrible and it creates constant stress.,frustration
There is fear and uncertainty because of layoffs,concern
Challenging tasks like career growth inspire me,motivation
Employees are worried about work pressure,concern
241,satisfaction
232,satisfaction
Employees are worried about job insecurity,concern
620,satisfaction
903,satisfaction
The stressful environment comes from work pressure,concern
The support from leadership helps me grow in career growth,motivation
1.6k,satisfaction
281,satisfaction
420,satisfaction
223,satisfaction
Job security feels threatened due to job insecurity,concern
484,satisfaction
Leadership is completely broken and employees are exhausted by it.,frustration
246,satisfaction
517,satisfaction
416,satisfaction
246,satisfaction
Employees are worried about job insecurity,concern
The support from leadership helps me grow in career growth,motivation
317,satisfaction
224,satisfaction
286,satisfaction
Employees are worried about politics,concern
The company culture is stressful and chaotic and it creates constant stress.,frustration
1.1k,satisfaction
537,satisfaction
192,satisfaction
There is fear and uncertainty because of toxic management,concern
There are great opportunities for skill improvement,motivation
Employees are worried about layoffs,concern
The work environment is toxic and discouraging and nothing improves.,frustration
316,satisfaction
571,satisfaction
1.7k,satisfaction
380,satisfaction
632,satisfaction
Job security feels threatened due to harassment reports,concern
There is fear and uncertainty because of layoffs,concern
232,satisfaction
258,satisfaction
250,satisfaction
488,satisfaction
I feel motivated because future leadership,motivation
1.3k,satisfaction
255,satisfaction
388,satisfaction
602,satisfaction
201,satisfaction
309,satisfaction
3.1k,satisfaction
Communication here is frustrating to deal with and no one listens to feedback.,frustration
311,satisfaction
540,satisfaction
425,satisfaction
519,satisfaction
The support from leadership helps me grow in innovation,motivation
580,satisfaction
Challenging tasks like skill improvement inspire me,motivation
The promotion process is poorly managed and it creates constant stress.,frustration
I feel motivated because future leadership,motivation
541,satisfaction
The support from leadership helps me grow in skill improvement,motivation
The promotion process is frustrating to deal with and it creates constant stress.,frustration
285,satisfaction
HR is completely broken and people are quitting because of it.,frustration
211,satisfaction
775,satisfaction
193,satisfaction
737,satisfaction
Employees are worried about job insecurity,concern
1.1k,satisfaction
The performance review system is stressful and chaotic and it feels like a waste of time.,frustration
There are great opportunities for skill improvement,motivation
196,satisfaction
287,satisfaction
336,satisfaction
711,satisfaction
1.3k,satisfaction
192,satisfaction
Employees are worried about layoffs,concern
868,satisfaction
728,satisfaction
Leadership is toxic and discouraging and it's affecting performance.,frustration
240,satisfaction
Challenging tasks like innovation inspire me,motivation
208,satisfaction
278,satisfaction
273,satisfaction
There is growing concern about work pressure,concern
I feel motivated because learning,motivation
Challenging tasks like future leadership inspire me,motivation
1.1k,satisfaction
Employees are worried about job insecurity,concern
671,satisfaction
The support from leadership helps me grow in innovation,motivation
I feel motivated because promotion,motivation
The stressful environment comes from harassment reports,concern
325,satisfaction
217,satisfaction
The management is terrible and it feels like a waste of time.,frustration
274,satisfaction
The support from leadership helps me grow in career growth,motivation
875,satisfaction
429,satisfaction
225,satisfaction
293,satisfaction
292,satisfaction
I enjoy learning new skills like skill improvement,motivation
299,satisfaction
241,satisfaction
Job security feels threatened due to layoffs,concern
353,satisfaction
203,satisfaction
I feel motivated because learning,motivation
265,satisfaction
436,satisfaction
Employees are worried about harassment reports,concern
The stressful environment comes from work pressure,concern
287,satisfaction
There is growing concern about work pressure,concern
261,satisfaction
3.5k,satisfaction
I feel motivated because innovation,motivation
228,satisfaction
Challenging tasks like innovation inspire me,motivation
239,satisfaction
214,satisfaction
The stressful environment comes from harassment reports,concern
There is growing concern about layoffs,concern
427,satisfaction
251,satisfaction
266,satisfaction
There is fear and uncertainty because of harassment reports,concern
There is growing concern about toxic management,concern
225,satisfaction
The promotion process is completely broken and it feels like a waste of time.,frustration
505,satisfaction
323,satisfaction
537,satisfaction
Communication here is full of delays and confusion and it's impossible to stay motivated.,frustration
704,satisfaction
320,satisfaction
501,satisfaction
Challenging tasks like learning inspire me,motivation
I enjoy learning new skills like learning,motivation
599,satisfaction
266,satisfaction
I feel motivated because promotion,motivation
The support from leadership helps me grow in promotion,motivation
The stressful environment comes from harassment reports,concern
206,satisfaction
1.7k,satisfaction
287,satisfaction
308,satisfaction
Leadership is terrible and nothing improves.,frustration
Communication here is completely broken and it creates constant stress.,frustration
718,satisfaction
245,satisfaction
390,satisfaction
353,satisfaction
1.2k,satisfaction
283,satisfaction
398,satisfaction
I feel motivated because career growth,motivation
Job security feels threatened due to toxic management,concern
214,satisfaction
There is growing concern about toxic management,concern
The stressful environment comes from politics,concern
520,satisfaction
The performance review system is disappointing and it's impossible to stay motivated.,frustration
The management is toxic and discouraging and nothing improves.,frustration
1.7k,satisfaction
HR is unfair to employees and people are quitting because of it.,frustration
The support from leadership helps me grow in promotion,motivation
211,satisfaction
255,satisfaction
312,satisfaction
364,satisfaction
288,satisfaction
6.9k,satisfaction
The stressful environment comes from work pressure,concern
290,satisfaction
483,satisfaction
233,satisfaction
267,satisfaction
756,satisfaction
There is growing concern about layoffs,concern
201,satisfaction
There is growing concern about toxic management,concern
239,satisfaction
1.8k,frustration
The company culture is poorly managed and productivity is suffering because of this.,frustration
204,satisfaction
7k,satisfaction
494,satisfaction
214,satisfaction
373,satisfaction
The work environment is full of delays and confusion and it's affecting performance.,frustration
The company culture is completely broken and it makes the job unbearable.,frustration
790,satisfaction
289,satisfaction
I enjoy learning new skills like future leadership,motivation
The stressful environment comes from layoffs,concern
Job security feels threatened due to layoffs,concern
1.8k,satisfaction
I enjoy learning new skills like future leadership,motivation
238,satisfaction
2k,satisfaction
305,satisfaction
The company culture is disappointing and nothing improves.,frustration
511,satisfaction
I enjoy learning new skills like skill improvement,motivation
I feel motivated because learning,motivation
7.1k,satisfaction
329,satisfaction
I enjoy learning new skills like learning,motivation
705,satisfaction
340,satisfaction
966,satisfaction
193,satisfaction
1.6k,satisfaction
247,satisfaction
943,satisfaction
The workflow is completely broken and it feels like a waste of time.,frustration
The stressful environment comes from job insecurity,concern
Leadership is poorly managed and employees are exhausted by it.,frustration
Leadership is stressful and chaotic and people are quitting because of it.,frustration
I feel motivated because innovation,motivation
I feel motivated because career growth,motivation
HR is disappointing and productivity is suffering because of this.,frustration
276,satisfaction
Job security feels threatened due to toxic management,concern
Communication here is disappointing and it feels like a waste of time.,frustration
Employees are worried about politics,concern
245,satisfaction
217,satisfaction
208,satisfaction
1.2k,satisfaction
The support from leadership helps me grow in learning,motivation
320,satisfaction
I feel motivated because promotion,motivation
I enjoy learning new skills like career growth,motivation
640,satisfaction
The promotion process is poorly managed and productivity is suffering because of this.,frustration
There is growing concern about toxic management,concern
194,satisfaction
2.5k,satisfaction
967,satisfaction
1.4k,satisfaction
201,satisfaction
246,satisfaction
859,satisfaction
407,satisfaction
787,satisfaction
Job security feels threatened due to layoffs,concern
I enjoy learning new skills like promotion,motivation
I enjoy learning new skills like career growth,motivation
386,satisfaction
I feel motivated because promotion,motivation
1.7k,satisfaction
1.4k,satisfaction
222,satisfaction
552,satisfaction
967,satisfaction
The workflow is toxic and discouraging and it makes the job unbearable.,frustration
The support from leadership helps me grow in career growth,motivation
The company culture is full of delays and confusion and it's affecting performance.,frustration
216,satisfaction
Challenging tasks like skill improvement inspire me,motivation
The policies are really bad and it makes the job unbearable.,frustration
206,satisfaction
503,satisfaction
The promotion process is completely broken and no one listens to feedback.,frustration
206,satisfaction
252,satisfaction
There is growing concern about job insecurity,concern
The stressful environment comes from politics,concern
910,satisfaction
265,satisfaction
1.3k,satisfaction
1.2k,satisfaction
The stressful environment comes from harassment reports,concern
620,satisfaction
996,satisfaction
939,satisfaction
2.1k,satisfaction
467,satisfaction
HR is unfair to employees and people are quitting because of it.,frustration
I enjoy learning new skills like future leadership,motivation
273,satisfaction
319,satisfaction
276,satisfaction
273,satisfaction
200,satisfaction
272,satisfaction
373,satisfaction
I feel motivated because learning,motivation
373,satisfaction
There is growing concern about politics,concern
270,satisfaction
There are great opportunities for innovation,motivation
Challenging tasks like future leadership inspire me,motivation
Challenging tasks like promotion inspire me,motivation
224,satisfaction
The work environment is frustrating to deal with and it's impossible to stay motivated.,frustration
I feel motivated because future leadership,motivation
The promotion process is stressful and chaotic and nothing improves.,frustration
402,satisfaction
408,satisfaction
There is growing concern about toxic management,concern
484,satisfaction
582,satisfaction
The support from leadership helps me grow in career growth,motivation
Challenging tasks like career growth inspire me,motivation
2.9k,satisfaction
The promotion process is stressful and chaotic and people are quitting because of it.,frustration
1.1k,satisfaction
245,satisfaction
2.8k,satisfaction
382,satisfaction
374,satisfaction
482,satisfaction
6.9k,satisfaction
336,satisfaction
329,satisfaction
The company culture is full of delays and confusion and it's impossible to stay motivated.,frustration
Job security feels threatened due to harassment reports,concern
There is fear and uncertainty because of harassment reports,concern
192,satisfaction
Communication here is completely broken and people are quitting because of it.,frustration
302,satisfaction
197,satisfaction
910,satisfaction
Employees are worried about harassment reports,concern
I feel motivated because future leadership,motivation
247,satisfaction
365,satisfaction
The performance review system is frustrating to deal with and it creates constant stress.,frustration
630,satisfaction
889,satisfaction
242,satisfaction
482,satisfaction
There is fear and uncertainty because of politics,concern
1.2k,satisfaction
1.4k,satisfaction
The support from leadership helps me grow in innovation,motivation
377,satisfaction
There is growing concern about layoffs,concern
There is fear and uncertainty because of layoffs,concern
Job security feels threatened due to toxic management,concern
The stressful environment comes from politics,concern
322,satisfaction
955,satisfaction
The management is toxic and discouraging and no one listens to feedback.,frustration
331,satisfaction
611,satisfaction
719,satisfaction
There is growing concern about harassment reports,concern
385,satisfaction
305,satisfaction
424,satisfaction
Challenging tasks like innovation inspire me,motivation
250,satisfaction
192,satisfaction
I feel motivated because innovation,motivation
493,satisfaction
472,satisfaction
251,satisfaction
335,satisfaction
Employees are worried about politics,concern
420,satisfaction
245,satisfaction
778,satisfaction
421,satisfaction
307,satisfaction
Communication here is full of delays and confusion and it feels like a waste of time.,frustration
Challenging tasks like career growth inspire me,motivation
Challenging tasks like learning inspire me,motivation
317,satisfaction
The stressful environment comes from layoffs,concern
383,satisfaction
717,satisfaction
231,satisfaction
4.4k,satisfaction
I enjoy learning new skills like innovation,motivation
Employees are worried about politics,concern
337,satisfaction
494,satisfaction
264,satisfaction
The support from leadership helps me grow in career growth,motivation
Challenging tasks like learning inspire me,motivation
The policies are toxic and discouraging and it creates constant stress.,frustration
2.8k,satisfaction
There is fear and uncertainty because of layoffs,concern
16.9k,satisfaction
538,satisfaction
425,satisfaction
314,satisfaction
280,satisfaction
219,satisfaction
The stressful environment comes from toxic management,concern
362,satisfaction
420,satisfaction
215,satisfaction
257,satisfaction
245,satisfaction
HR is full of delays and confusion and it makes the job unbearable.,frustration
204,satisfaction
1.8k,satisfaction
The promotion process is terrible and people are quitting because of it.,frustration
4.4k,satisfaction
262,satisfaction
624,satisfaction
219,satisfaction
29.3k,satisfaction
448,satisfaction
There are great opportunities for innovation,motivation
332,satisfaction
962,satisfaction
298,satisfaction
Employees are worried about work pressure,concern
1.7k,satisfaction
Job security feels threatened due to job insecurity,concern
270,satisfaction
210,satisfaction
There is growing concern about job insecurity,concern
207,satisfaction
240,satisfaction
354,satisfaction
1.3k,satisfaction
194,satisfaction
209,satisfaction
1.5k,satisfaction
198,satisfaction
259,satisfaction
I enjoy learning new skills like innovation,motivation
There are great opportunities for career growth,motivation
I enjoy learning new skills like skill improvement,motivation
231,satisfaction
There are great opportunities for innovation,motivation
Challenging tasks like skill improvement inspire me,motivation
369,satisfaction
215,satisfaction
Challenging tasks like future leadership inspire me,motivation
298,satisfaction
781,satisfaction
240,satisfaction
The stressful environment comes from harassment reports,concern
The workflow is disappointing and productivity is suffering because of this.,frustration
Challenging tasks like promotion inspire me,motivation
236,satisfaction
466,satisfaction
Job security feels threatened due to job insecurity,concern
557,satisfaction
Communication here is really bad and it makes the job unbearable.,frustration
378,satisfaction
606,satisfaction
307,satisfaction
227,satisfaction
I feel motivated because skill improvement,motivation
Communication here is unfair to employees and nothing improves.,frustration
1.1k,satisfaction
277,satisfaction
Job security feels threatened due to politics,concern
879,satisfaction
430,satisfaction
216,satisfaction
196,satisfaction
The policies are disappointing and people are quitting because of it.,frustration
I enjoy learning new skills like future leadership,motivation
The stressful environment comes from work pressure,concern
3.2k,satisfaction
606,satisfaction
There are great opportunities for future leadership,motivation
1.2k,satisfaction
631,satisfaction
1.7k,satisfaction
There are great opportunities for future leadership,motivation
Job security feels threatened due to work pressure,concern
228,satisfaction
653,satisfaction
196,satisfaction
224,satisfaction
232,satisfaction
580,satisfaction
11.3k,satisfaction
709,satisfaction
304,satisfaction
310,satisfaction
I enjoy learning new skills like innovation,motivation
I feel motivated because skill improvement,motivation
311,satisfaction
283,satisfaction
1.6k,satisfaction
193,satisfaction
398,satisfaction
2k,satisfaction
The management is terrible and employees are exhausted by it.,frustration
306,satisfaction
There is fear and uncertainty because of toxic management,concern
The work environment is disappointing and it's impossible to stay motivated.,frustration
386,satisfaction
HR is really bad and no one listens to feedback.,frustration
309,satisfaction
651,satisfaction
497,satisfaction
345,satisfaction
The policies are terrible and it creates constant stress.,frustration
369,satisfaction
1.2k,satisfaction
215,satisfaction
317,satisfaction
1.4k,satisfaction
The workflow is unfair to employees and nothing improves.,frustration
1.4k,satisfaction
480,satisfaction
There is growing concern about toxic management,concern
241,satisfaction
The performance review system is disappointing and it's affecting performance.,frustration
The stressful environment comes from toxic management,concern
334,satisfaction
Job security feels threatened due to politics,concern
HR is completely broken and it's affecting performance.,frustration
787,satisfaction
There is fear and uncertainty because of politics,concern
331,satisfaction
275,satisfaction
357,satisfaction
225,satisfaction
HR is completely broken and it makes the job unbearable.,frustration
The promotion process is toxic and discouraging and it makes the job unbearable.,frustration
998,satisfaction
The management is slow and unorganized and employees are exhausted by it.,frustration
3.4k,satisfaction
The stressful environment comes from work pressure,concern
Challenging tasks like career growth inspire me,motivation
235,satisfaction
3.5k,satisfaction
1.1k,satisfaction
203,satisfaction
665,satisfaction
1.4k,satisfaction
553,satisfaction
274,satisfaction
There is fear and uncertainty because of job insecurity,concern
The stressful environment comes from layoffs,concern
306,satisfaction
The management is stressful and chaotic and it feels like a waste of time.,frustration
358,satisfaction
189,satisfaction
564,satisfaction
195,satisfaction
Communication here is really bad and nothing improves.,frustration
659,satisfaction
222,satisfaction
The work environment is unfair to employees and people are quitting because of it.,frustration
2.8k,satisfaction
235,satisfaction
There are great opportunities for learning,motivation
5.2k,satisfaction
189,satisfaction
190,satisfaction
333,satisfaction
There is fear and uncertainty because of job insecurity,concern
The management is terrible and it's affecting performance.,frustration
201,satisfaction
204,satisfaction
756,satisfaction
1k,satisfaction
275,satisfaction
I feel motivated because career growth,motivation
233,satisfaction
516,satisfaction
1.4k,satisfaction
585,satisfaction
Employees are worried about work pressure,concern
254,satisfaction
998,satisfaction
5.4k,satisfaction
1.7k,satisfaction
The work environment is unfair to employees and people are quitting because of it.,frustration
Challenging tasks like future leadership inspire me,motivation
213,satisfaction
There is growing concern about job insecurity,concern
Job security feels threatened due to toxic management,concern
995,satisfaction
547,satisfaction
470,satisfaction
791,satisfaction
3.7k,satisfaction
953,satisfaction
1.2k,satisfaction
262,satisfaction
Leadership is unfair to employees and it creates constant stress.,frustration
578,satisfaction
Employees are worried about politics,concern
The workflow is toxic and discouraging and people are quitting because of it.,frustration
The stressful environment comes from layoffs,concern
315,satisfaction
247,satisfaction
1.8k,satisfaction
310,satisfaction
There is growing concern about work pressure,concern
3.7k,satisfaction
3.2k,satisfaction
The support from leadership helps me grow in learning,motivation
1.1k,satisfaction
312,satisfaction
394,satisfaction
Communication here is stressful and chaotic and it's affecting performance.,frustration
The stressful environment comes from harassment reports,concern
1.6k,satisfaction
256,satisfaction
1.8k,satisfaction
728,satisfaction
The company culture is slow and unorganized and it creates constant stress.,frustration
Employees are worried about work pressure,concern
The workflow is frustrating to deal with and it's impossible to stay motivated.,frustration
260,satisfaction
1.1k,satisfaction
The performance review system is frustrating to deal with and it makes the job unbearable.,frustration
197,satisfaction
1.5k,satisfaction
397,satisfaction
660,satisfaction
The support from leadership helps me grow in innovation,motivation
There are great opportunities for skill improvement,motivation
Challenging tasks like future leadership inspire me,motivation
193,satisfaction
There is growing concern about layoffs,concern
192,satisfaction
2.1k,satisfaction
434,satisfaction
200,satisfaction
I enjoy learning new skills like learning,motivation
Communication here is full of delays and confusion and it creates constant stress.,frustration
The work environment is disappointing and it's impossible to stay motivated.,frustration
334,satisfaction
1.3k,satisfaction
200,satisfaction
195,satisfaction
1.5k,satisfaction
There are great opportunities for learning,motivation
484,satisfaction
770,satisfaction
1.4k,satisfaction
281,satisfaction
Leadership is terrible and it's affecting performance.,frustration
517,satisfaction
The work environment is toxic and discouraging and it creates constant stress.,frustration
The company culture is frustrating to deal with and productivity is suffering because of this.,frustration
316,satisfaction
190,satisfaction
280,satisfaction
397,satisfaction
Employees are worried about layoffs,concern
590,satisfaction
650,satisfaction
274,satisfaction
296,satisfaction
263,satisfaction
HR is disappointing and it's impossible to stay motivated.,frustration
7.3k,satisfaction
963,satisfaction
246,satisfaction
1.4k,satisfaction
The stressful environment comes from harassment reports,concern
962,satisfaction
354,satisfaction
The policies are toxic and discouraging and productivity is suffering because of this.,frustration
1k,satisfaction
484,satisfaction
188,satisfaction
941,satisfaction
628,satisfaction
860,satisfaction
419,satisfaction
292,satisfaction
233,satisfaction
I feel motivated because promotion,motivation
801,satisfaction
There is fear and uncertainty because of layoffs,concern
216,satisfaction
Communication here is completely broken and productivity is suffering because of this.,frustration
957,satisfaction
1.5k,satisfaction
860,satisfaction
220,satisfaction
Employees are worried about layoffs,concern
265,satisfaction
726,satisfaction
The company culture is poorly managed and it's affecting performance.,frustration
456,satisfaction
373,satisfaction
The work environment is full of delays and confusion and it makes the job unbearable.,frustration
The support from leadership helps me grow in promotion,motivation
1.9k,satisfaction
Challenging tasks like future leadership inspire me,motivation
259,satisfaction
The work environment is poorly managed and no one listens to feedback.,frustration
The stressful environment comes from job insecurity,concern
188,satisfaction
981,satisfaction
I enjoy learning new skills like future leadership,motivation
335,satisfaction
573,satisfaction
1.6k,satisfaction
The work environment is slow and unorganized and it creates constant stress.,frustration
289,satisfaction
I enjoy learning new skills like future leadership,motivation
1.9k,satisfaction
4.2k,satisfaction
Job security feels threatened due to layoffs,concern
HR is frustrating to deal with and it makes the job unbearable.,frustration
I feel motivated because career growth,motivation
690,satisfaction
1.7k,satisfaction
233,satisfaction
1.8k,satisfaction
453,satisfaction
753,satisfaction
The promotion process is poorly managed and people are quitting because of it.,frustration
447,satisfaction
400,satisfaction
Employees are worried about layoffs,concern
500,satisfaction
797,satisfaction
Communication here is full of delays and confusion and it makes the job unbearable.,frustration
392,satisfaction
235,satisfaction
There is growing concern about toxic management,concern
277,satisfaction
I feel motivated because learning,motivation
